SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,LATITUDE,LONGITUDE
June-30-2017,Single Family Residential,554 Auburn St,Newton,MA,2466,1321250,5,4,Auburndale,4205,6850,2013,244,314,,Sold,http://www.redfin.com/MA/Auburndale/554-Auburn-St-02466/home/11435677,MLS PIN,72141365,42.3443756,-71.2561688
January-25-2018,Single Family Residential,380 Gray St,Arlington,MA,2476,1134000,4,3,Arlington,2848,6198,2005,35,398,,Sold,http://www.redfin.com/MA/Arlington/380-Gray-St-02476/home/8468095,MLS PIN,72247389,42.419698,-71.1779229
,Single Family Residential,126 Wildwood St,Winchester,MA,1890,1137000,4,4,,3860,10321,1930,,295,,,http://www.redfin.com/MA/Winchester/126-Wildwood-St-01890/home/11461431,,,42.4503497,-71.1612599
November-3-2017,Single Family Residential,5 WRIGHT St,Lexington,MA,2420,1475000,4,4.5,Lexington,6000,37405,1996,118,246,,Sold,http://www.redfin.com/MA/Lexington/5-Wright-St-02420/home/8585975,MLS PIN,72187610,42.4820428,-71.2465629
July-24-2017,Single Family Residential,100 Drumlin Rd,Newton,MA,2459,1825000,5,5.5,Thompsonville,4972,10887,2012,220,367,,Sold,http://www.redfin.com/MA/Newton/100-Drumlin-Rd-02459/home/11485720,MLS PIN,72141093,42.304672,-71.1818623
January-18-2018,Single Family Residential,100 Ardmore Rd,Needham,MA,2494,1450000,6,5,Needham,4997,17860,2004,42,290,,Sold,http://www.redfin.com/MA/Needham-Heights/100-Ardmore-Rd-02494/home/8928137,MLS PIN,72247524,42.3056418,-71.2431091
August-14-2017,Single Family Residential,166 Summer St,Somerville,MA,2143,1200000,3,2.5,Somerville,2152,3250,1900,199,558,,Sold,http://www.redfin.com/MA/Somerville/166-Summer-St-02143/home/8712218,MLS PIN,72169530,42.3863005,-71.106513
June-22-2017,Single Family Residential,55 Bay State Rd,Arlington,MA,2474,1080000,4,3,Kelwyn Manor,2553,6114,1941,252,423,6,Sold,http://www.redfin.com/MA/Arlington/55-Bay-State-Rd-02474/home/11535988,MLS PIN,72147420,42.4051341,-71.1548545
August-21-2017,Single Family Residential,9 WILDWOOD St,Winchester,MA,1890,1410000,4,2.5,Winchester,3581,10675,1875,192,394,,Sold,http://www.redfin.com/MA/Winchester/9-Wildwood-St-01890/home/11456302,MLS PIN,72200252,42.4514008,-71.1445499
June-26-2017,Single Family Residential,12 DUDLEY Rd,Lexington,MA,2421,1285000,5,3.5,Lexington,3196,15936,1969,248,402,,Sold,http://www.redfin.com/MA/Lexington/12-Dudley-Rd-02421/home/8543870,MLS PIN,72138349,42.4218682,-71.2173031
December-8-2017,Single Family Residential,263 Common St,Belmont,MA,2478,1225000,5,3.5,Belmont,2582,13410,1942,83,474,,Sold,http://www.redfin.com/MA/Belmont/263-Common-St-02478/home/8433555,MLS PIN,72244593,42.3874915,-71.1746275
October-26-2017,Single Family Residential,46 Arden Rd,Watertown,MA,2472,1075000,4,3,Watertown,2096,7550,1931,126,513,,Sold,http://www.redfin.com/MA/Watertown/46-Arden-Rd-02472/home/11698953,MLS PIN,72223679,42.3729356,-71.1713669
May-25-2017,Single Family Residential,50 ROBINHOOD Rd,Winchester,MA,1890,1220000,4,2.5,Winchester,2280,11262,1986,280,535,,Sold,http://www.redfin.com/MA/Winchester/50-Robinhood-Rd-01890/home/11461357,MLS PIN,72134442,42.4503371,-71.1607494
April-20-2017,Single Family Residential,100 Moorland Rd,Falmouth,MA,2540,2500000,5,4,Falmouth,2687,31799,1930,315,930,,Sold,http://www.redfin.com/MA/Falmouth/100-Moorland-Rd-02540/home/113729961,CCIMLS,21711228,41.5472364,-70.6335531
,Single Family Residential,18 Cross St,Somerville,MA,2145,1255000,2,2.5,,2048,2065,2001,,613,,,http://www.redfin.com/MA/Somerville/18-Cross-St-02145/home/9062118,,,42.3879258,-71.0862209
March-15-2017,Single Family Residential,56 Walnut Hl,Scituate,MA,2066,1100000,5,4.5,Walnut Tree Hill,5000,40206,2002,351,220,,Sold,http://www.redfin.com/MA/Scituate/56-Walnut-Hill-Dr-02066/home/16434311,MLS PIN,72115771,42.1768203,-70.7618683
March-27-2017,Single Family Residential,103 Neal Gate St,Scituate,MA,2066,1355000,5,4.5,Scituate,5500,161608,2001,339,246,,Sold,http://www.redfin.com/MA/Scituate/103-Neal-Gate-St-02066/home/16434130,MLS PIN,72031381,42.1670665,-70.7536914
May-8-2017,Single Family Residential,393 Clinton Rd,Brookline,MA,2445,1425000,4,3.5,Brookline,2773,11742,1924,297,514,,Sold,http://www.redfin.com/MA/Chestnut-Hill/393-Clinton-Rd-02467/home/11483971,MLS PIN,72136689,42.334285,-71.150035
March-22-2017,Single Family Residential,11 Wolcott Road Ext,Brookline,MA,2467,1390000,4,2.5,Chestnut Hill,3304,12840,1940,344,421,,Sold,http://www.redfin.com/MA/Chestnut-Hill/11-Wolcott-Rd-Ext-02467/home/11497460,MLS PIN,72113738,42.3060549,-71.1589391
March-24-2017,Single Family Residential,80 Kensington Cir,Brookline,MA,2467,2175000,4,4.5,Brookline,4000,15369,1936,342,544,,Sold,http://www.redfin.com/MA/Chestnut-Hill/80-Kensington-Cir-02467/home/11498330,MLS PIN,72002531,42.3110357,-71.170543
March-31-2017,Single Family Residential,89 Arlington Rd,Brookline,MA,2467,2050000,4,5,Brookline,3265,10899,1953,335,628,,Sold,http://www.redfin.com/MA/Chestnut-Hill/89-Arlington-Rd-02467/home/11498364,MLS PIN,72107100,42.3105739,-71.1708331
June-1-2017,Single Family Residential,36 Beals St,Brookline,MA,2446,1800000,3,2,Brookline,1932,3090,1900,273,932,,Sold,http://www.redfin.com/MA/Brookline/36-Beals-St-02446/home/11448027,MLS PIN,72132219,42.3458869,-71.1249495
May-15-2017,Single Family Residential,44 Cypress St,Brookline,MA,2445,2100000,5,3.5,Brookline Village- High School area,3873,5145,1890,290,542,,Sold,http://www.redfin.com/MA/Brookline/44-Cypress-St-02445/home/11469688,MLS PIN,72133630,42.3332404,-71.1242079
March-31-2017,Single Family Residential,75 Greenough St,Brookline,MA,2445,1850000,5,1.5,Brookline,2530,8466,1880,335,731,,Sold,http://www.redfin.com/MA/Brookline/75-Greenough-St-02445/home/11471427,MLS PIN,72114008,42.3337026,-71.1276154
April-26-2017,Single Family Residential,6 Juniper Rd,Wellesley,MA,2482,1280000,4,2.5,Wellesley,2719,15735,1983,309,471,,Sold,http://www.redfin.com/MA/Wellesley/6-Juniper-Rd-02482/home/8975573,MLS PIN,72112405,42.2917516,-71.2784887
March-29-2017,Single Family Residential,10 Turtle Ln,Dover,MA,2030,1700000,6,5.5,Turtle Lane,6136,57064,1956,337,277,,Sold,http://www.redfin.com/MA/Dover/10-Turtle-Ln-02030/home/11706075,MLS PIN,71998388,42.2721017,-71.3001809
April-26-2017,Single Family Residential,14 Pleasant St,Dover,MA,2030,1104750,3,2.5,Dover,3294,91773,1981,309,335,,Sold,http://www.redfin.com/MA/Dover/14-Pleasant-St-S-02030/home/11706267,MLS PIN,72114266,42.2569948,-71.3014105
May-25-2017,Single Family Residential,35 Haven St,Dover,MA,2030,1051000,4,3.5,Dover,3293,43564,1960,280,319,,Sold,http://www.redfin.com/MA/Dover/35-Haven-St-02030/home/11706633,MLS PIN,72109089,42.2502894,-71.283268
April-18-2017,Single Family Residential,71 Main St,Dover,MA,2030,1085000,3,4,Dover,4500,24829,2014,317,241,,Sold,http://www.redfin.com/MA/Dover/71-Main-St-02030/home/11706681,MLS PIN,72108014,42.2615797,-71.2985801
,Single Family Residential,19 Abbott Rd,Wellesley Hills,MA,2481,1975000,5,4.5,,4234,13317,1895,,466,,,http://www.redfin.com/MA/Wellesley-Hills/19-Abbott-Rd-02481/home/8974589,,,42.3092012,-71.2756388
May-19-2017,Single Family Residential,229 Bristol,Wellesley,MA,2481,2134000,4,4.5,Wellesley,5282,20007,2016,286,404,,Sold,http://www.redfin.com/MA/Wellesley-Hills/229-Bristol-Rd-02481/home/8990190,MLS PIN,72025237,42.3110177,-71.3012249
,Single Family Residential,37 Manchester Rd,Newton Highlands,MA,2461,1215000,4,2.5,,1954,5305,1931,,622,,,http://www.redfin.com/MA/Newton-Highlands/37-Manchester-Rd-02461/home/11454396,,,42.3281718,-71.2080443
May-15-2017,Single Family Residential,45 HILLSIDE Ave,Newton,MA,2465,1160888,4,2.5,West Newton Hill,2560,7075,1932,290,453,,Sold,http://www.redfin.com/MA/West-Newton/45-Hillside-Ave-02465/home/11426901,MLS PIN,72134311,42.3473915,-71.2230346
,Single Family Residential,41 Exeter St,West Newton,MA,2465,3062500,6,6,,5245,32670,1925,,584,,,http://www.redfin.com/MA/West-Newton/41-Exeter-St-02465/home/11427931,,,42.3398946,-71.2279074
May-1-2017,Single Family Residential,64 Bonad Rd,Newton,MA,2465,1572500,4,3.5,West Newton Hill,2665,13592,1920,304,590,,Sold,http://www.redfin.com/MA/Newton/64-Bonad-Rd-02465/home/11429612,MLS PIN,72129140,42.3400897,-71.2191826
April-28-2017,Single Family Residential,15 Old Town Rd,Wellesley,MA,2481,1812500,4,4.5,Wellesley Farms,3075,14470,1940,307,589,,Sold,http://www.redfin.com/MA/Wellesley-Hills/15-Old-Town-Rd-02481/home/8973652,MLS PIN,72052916,42.3263494,-71.275519
April-28-2017,Single Family Residential,129 Albion Rd,Wellesley,MA,2481,2042500,5,4.5,Wellesley,4300,20077,1994,307,475,,Sold,http://www.redfin.com/MA/Wellesley-Hills/129-Albion-Rd-02481/home/11725577,MLS PIN,72109965,42.3150452,-71.2954481
May-30-2017,Single Family Residential,120 Hampshire Rd,Wellesley,MA,2481,1407500,4,3,Cliff Estates,2862,25122,1956,275,492,,Sold,http://www.redfin.com/MA/Wellesley-Hills/120-Hampshire-Rd-02481/home/8987245,MLS PIN,72114776,42.3148658,-71.2971417
May-31-2017,Single Family Residential,169 Ridgeway Rd,Weston,MA,2493,1650000,4,3.5,Weston,3945,81344,1934,274,418,,Sold,http://www.redfin.com/MA/Weston/169-Ridgeway-Rd-02493/home/8791490,MLS PIN,71962774,42.3312215,-71.2776303
,Single Family Residential,75 Scotch Pine Rd,Weston,MA,2493,2600000,5,3.5,,3406,124469,1973,,763,,,http://www.redfin.com/MA/Weston/75-Scotch-Pine-Rd-02493/home/8792389,,,42.3226882,-71.2998793
April-26-2017,Single Family Residential,3 Dudley Rd,Wellesley,MA,2481,1400000,5,3.5,Wellesley,3135,15899,1953,309,447,,Sold,http://www.redfin.com/MA/Wellesley-Hills/3-Dudley-Rd-02481/home/8966056,MLS PIN,72114547,42.3131295,-71.2572129
May-10-2017,Single Family Residential,50 STANDISH Rd,Wellesley,MA,2481,1928999,5,4.5,Standish Estates,5500,16080,2016,295,351,,Sold,http://www.redfin.com/MA/Wellesley-Hills/50-Standish-Rd-02481/home/8967468,MLS PIN,72081363,42.3108322,-71.2585238
May-1-2017,Single Family Residential,580 Dedham St,Newton,MA,2459,1068000,4,3.5,Newton,3063,15110,1950,304,349,,Sold,http://www.redfin.com/MA/Newton/580-Dedham-St-02459/home/11477120,MLS PIN,72085506,42.3043842,-71.1926822
,Single Family Residential,82 Broken Tree Rd,Newton,MA,2459,1100000,3,2,,2322,15718,1954,,474,,,http://www.redfin.com/MA/Newton/82-Broken-Tree-Rd-02459/home/11485207,,,42.2996792,-71.1809398
May-2-2017,Single Family Residential,290 Hartman Rd,Newton,MA,2459,1915000,5,5,Newton,5886,16900,2005,303,325,,Sold,http://www.redfin.com/MA/Newton/290-Hartman-Rd-02459/home/11485690,MLS PIN,71996702,42.3036142,-71.1795938
May-5-2017,Single Family Residential,5 Drew Rd,Newton,MA,2467,1580000,4,3.5,Newton,3515,8155,2016,300,450,,Sold,http://www.redfin.com/MA/Chestnut-Hill/158-Pond-Brook-Rd-02467/home/11486032,MLS PIN,72121250,42.308185,-71.175177
May-17-2017,Single Family Residential,11 Curtis Farm Rd,Norwell,MA,2061,1291160,4,4.5,Norwell Estates,4193,1,2015,288,308,105,Sold,http://www.redfin.com/MA/Norwell/11-Curtis-Farm-Rd-02061/home/76482871,MLS PIN,71825657,42.1495921,-70.7958152
May-26-2017,Single Family Residential,4 Curtis Farm Rd,Norwell,MA,2061,1350540,4,3.5,Norwell Estates,3846,48351,2015,279,351,,Sold,http://www.redfin.com/MA/Norwell/4-Curtis-Farm-Rd-02061/home/76482855,MLS PIN,71842385,42.1495921,-70.7958152
March-3-2017,Single Family Residential,4 Phillips Ln Lot Phillips,Norwell,MA,2061,1200000,5,3.5,Wildcat Hill,3880,21780,2016,363,309,,Sold,http://www.redfin.com/MA/Norwell/4-Phillips-Ln-02061/unit-Phillips/home/109703847,MLS PIN,72095118,42.1403541,-70.8196233
May-4-2017,Single Family Residential,27 Buswell Park,Newton,MA,2458,1271000,4,3,Newton,2366,7840,1940,301,537,,Sold,http://www.redfin.com/MA/Newton/27-Buswell-Park-02458/home/11473353,MLS PIN,72124467,42.350151,-71.1853954
April-27-2017,Single Family Residential,5 Auburn St,Newton,MA,2465,1295000,4,4.5,West Newton,4100,14366,2017,308,316,,Sold,http://www.redfin.com/MA/Newton/5-Auburn-St-02465/home/113105963,MLS PIN,72118976,42.3451017,-71.2345783
,Multi-Family (2-4 Unit),16 Sharon Ave,Auburndale,MA,2466,1525000,8,9,,6350,15473,2016,,240,,,http://www.redfin.com/MA/Auburndale/16-Sharon-Ave-02466/home/11439483,,,42.345455,-71.239367
May-19-2017,Single Family Residential,50 Sterling Rd,Needham,MA,2492,1432000,5,4.5,Needham,4330,18695,2017,286,331,,Sold,http://www.redfin.com/MA/Needham/50-Sterling-Rd-02492/home/8896303,MLS PIN,72106968,42.2703725,-71.2026061
May-2-2017,Single Family Residential,3 Applegarth St,Newton,MA,2459,1343218,3,2.5,Newton Center,2044,8658,1925,303,657,,Sold,http://www.redfin.com/MA/Newton-Centre/3-Applegarth-St-02459/home/11413231,MLS PIN,72131411,42.3395865,-71.1962559
,Single Family Residential,14 Belvidere Rd,Falmouth,MA,2540,1138500,4,2.5,,2404,9500,2016,,474,,,http://www.redfin.com/MA/Falmouth/14-Belvidere-Rd-02540/home/77345594,,,41.548053,-70.6074299
,Single Family Residential,45 Wyman St,Waban,MA,2468,1000000,3,2.5,,1840,11350,1957,,543,,,http://www.redfin.com/MA/Waban/45-Wyman-St-02468/home/11451835,,,42.3255795,-71.2285107
May-15-2017,Single Family Residential,236 WABAN Ave,Newton,MA,2468,2750000,7,7.5,Newton,6334,18693,1875,290,434,,Sold,http://www.redfin.com/MA/Waban/236-Waban-Ave-02468/home/11457233,MLS PIN,71929278,42.3239022,-71.2412262
June-1-2017,Single Family Residential,150 Heath St,Brookline,MA,2445,7500000,0,,Brookline,9999,78408,,273,750,,Sold,http://www.redfin.com/MA/Chestnut-Hill/150-Heath-St-02467/home/11500383,MLS PIN,72174345,42.3214639,-71.1462906
March-28-2017,Single Family Residential,355 Hammond St,Newton,MA,2467,3100000,6,4.5,Historic Chestnut Hill,6436,17377,1880,338,482,,Sold,http://www.redfin.com/MA/Chestnut-Hill/355-Hammond-St-02467/home/11463859,MLS PIN,72117254,42.3298833,-71.168175
April-21-2017,Single Family Residential,135 Willard Rd,Brookline,MA,2445,2517000,4,4.5,Brookline,4137,10875,1925,314,608,,Sold,http://www.redfin.com/MA/Brookline/135-Willard-Rd-02445/home/11506630,MLS PIN,72116536,42.3315,-71.1505842
May-12-2017,Single Family Residential,51 Randolph Rd,Brookline,MA,2467,1810000,5,3.5,Chestnut Hill,3200,10820,1937,293,566,,Sold,http://www.redfin.com/MA/Chestnut-Hill/51-Randolph-Rd-02467/home/11499884,MLS PIN,72127583,42.3230711,-71.1578252
March-23-2017,Single Family Residential,107 Herring Creek Rd,Edgartown,MA,2539,1000000,4,4,Edgartown,1852,21780,1986,343,540,,Sold,http://www.redfin.com/MA/Edgartown/107-Herring-Creek-Rd-02539/home/132223721,CCIMLS,21610185,41.370357,-70.5212319
May-24-2017,Single Family Residential,1 Pierce Ln,Edgartown,MA,2539,3175000,4,5,Edgartown,3394,12196,1860,281,935,,Sold,http://www.redfin.com/MA/Edgartown/1-Pierce-Ln-02539/home/77347954,CCIMLS,21701064,41.3920799,-70.5134085
May-25-2017,Townhouse,222 Allandale Rd Unit A,Boston,MA,2467,1600000,4,4.5,Boston,5358,187308,1989,280,299,1925,Sold,http://www.redfin.com/MA/Boston/200-234-Allandale-Rd-02467/unit-A/home/104326787,MLS PIN,72123677,42.301738,-71.1391175
May-19-2017,Single Family Residential,241 Buckminster Rd,Brookline,MA,2445,2525000,5,3.5,Brookline,5043,15660,1900,286,501,,Sold,http://www.redfin.com/MA/Brookline/241-Buckminster-Rd-02445/home/11482905,MLS PIN,72124020,42.3333718,-71.1408364
May-12-2017,Single Family Residential,100 Salisbury Rd,Brookline,MA,2445,2210000,5,3.5,Brookline,2813,7540,1914,293,786,,Sold,http://www.redfin.com/MA/Brookline/100-Salisbury-Rd-02445/home/11455742,MLS PIN,72118394,42.3388555,-71.1409757
April-19-2017,Single Family Residential,23 Leicester St,Brookline,MA,2445,3161000,5,5.5,Fisher Hill,7019,28061,1920,316,450,,Sold,http://www.redfin.com/MA/Brookline/23-Leicester-St-02445/home/11483600,MLS PIN,71900513,42.3284087,-71.1408132
,Condo/Co-op,14 Zamora St,Boston,MA,2130,1340000,3,3.5,,3665,,2013,,366,,,http://www.redfin.com/MA/Boston/14-Zamora-St-02130/home/40533926,,,42.3222959,-71.1132569
September-8-2017,Single Family Residential,4 Mattarest Ln,Dartmouth,MA,2748,1475000,5,2.5,Nonquitt,2770,41600,1983,174,532,,Sold,http://www.redfin.com/MA/Dartmouth/4-Mattarest-Ln-02748/home/15979503,MLS PIN,71709022,41.548558,-70.9371759
September-25-2017,Single Family Residential,7 Plum Hill Rd,Manchester,MA,1944,1125000,4,3,Manchester,4636,123408,2013,157,243,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/7-Plum-Hl-01944/home/17543098,MLS PIN,72169752,42.581772,-70.749349
November-1-2017,Single Family Residential,19 Old Neck Rd,Manchester,MA,1944,3500000,5,6,Manchester,8938,161172,1900,120,392,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/19-Old-Neck-Rd-01944/home/8272766,MLS PIN,72156975,42.5735537,-70.7579331
November-1-2017,Single Family Residential,17 Eaglehead Rd,Manchester,MA,1944,2900000,5,3.5,Manchester,3410,75492,1954,120,850,58,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/17-Eaglehead-Rd-01944/home/8272889,MLS PIN,72179951,42.5719866,-70.7529205
September-15-2017,Single Family Residential,15 Niles Pond Rd,Gloucester,MA,1930,1200000,4,3,Eastern Point,3941,61419,1971,167,304,75,Sold,http://www.redfin.com/MA/Gloucester/15-Niles-Pond-Rd-01930/home/11297585,MLS PIN,72140899,42.5887719,-70.658415
October-17-2017,Single Family Residential,247 Atlantic Rd,Gloucester,MA,1930,1487500,4,3.5,East Gloucester,4131,72310,1994,135,360,,Sold,http://www.redfin.com/MA/Gloucester/247-Atlantic-Rd-01930/home/11293141,MLS PIN,72139147,42.5950826,-70.6434515
August-16-2017,Single Family Residential,24 Saint Louis Ave,Gloucester,MA,1930,2147000,4,3,Eastern Point,3036,42500,1981,197,707,,Sold,http://www.redfin.com/MA/Gloucester/24-St-Louis-Ave-01930/home/11297511,MLS PIN,72128181,42.5933698,-70.6529548
August-1-2017,Single Family Residential,86 Eastern Point Blvd,Gloucester,MA,1930,1260000,3,4,Eastern Point,2712,30900,1972,212,465,83,Sold,http://www.redfin.com/MA/Gloucester/86-Eastern-Point-Blvd-01930/home/11297566,MLS PIN,72189979,42.5884309,-70.6613762
April-7-2017,Single Family Residential,155 Bridge St,Manchester,MA,1944,2140000,4,6,Manchester,5600,45020,2016,328,382,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/155-Bridge-St-01944/home/8274454,MLS PIN,72095546,42.5692507,-70.7897425
June-23-2017,Single Family Residential,2 Leather Ln,Beverly,MA,1915,1480000,4,4.5,Beverly Farms,4148,52707,2014,251,357,,Sold,http://www.redfin.com/MA/Beverly/2-Leather-Ln-01915/home/8227719,MLS PIN,72119144,42.567571,-70.8001759
July-12-2017,Single Family Residential,22 Crooked Ln,Manchester,MA,1944,1800000,4,4,Manchester,5084,199290,2014,232,354,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/22-Crooked-Ln-01944/home/11920046,MLS PIN,72153027,42.584373,-70.788667
July-24-2017,Single Family Residential,44 Walker Rd,Manchester,MA,1944,1500000,5,4.5,Manchester,6094,515448,1999,220,246,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/44-Walker-Rd-01944/home/8275083,MLS PIN,72065763,42.577425,-70.787342
January-12-2018,Single Family Residential,19 Harbor St,Manchester,MA,1944,2350000,5,4,Manchester,5029,56940,1878,48,467,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/19-Harbor-St-01944/home/8274171,MLS PIN,72108010,42.56783,-70.785176
June-15-2017,Single Family Residential,58 West St,Beverly,MA,1915,1299000,3,3,Beverly Farms,3283,20419,1850,259,396,,Sold,http://www.redfin.com/MA/Beverly/58-West-St-01915/home/8222612,MLS PIN,72112910,42.5613509,-70.8106401
December-20-2017,Single Family Residential,155 West St,Beverly,MA,1915,4100000,7,5.5,Beverly Farms,7363,185348,1845,71,557,,Sold,http://www.redfin.com/MA/Beverly/155-West-St-01915/home/8222830,MLS PIN,72094695,42.56164,-70.8018216
November-17-2017,Single Family Residential,35 Vine St,Manchester,MA,1944,1175000,4,2.5,Manchester,3833,27980,2014,104,307,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/35-Vine-St-01944/home/56504984,MLS PIN,72236360,42.5799331,-70.7661705
August-10-2017,Single Family Residential,2 Woodholm Rd,Manchester,MA,1944,1290000,4,2.5,Manchester,3567,30615,1996,203,362,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/2-Woodholm-Rd-01944/home/8275440,MLS PIN,72168127,42.5799196,-70.7792569
August-15-2017,Single Family Residential,39 Central St,Manchester,MA,1944,1650000,6,3.5,Manchester,4654,15500,1808,198,355,,Sold,http://www.redfin.com/MA/Manchester-by-the-Sea/39-Central-St-01944/home/8279195,MLS PIN,72153949,42.575278,-70.774347
May-31-2017,Single Family Residential,25 Turtle Back Rd,Essex,MA,1929,1050000,4,3.5,Essex,3745,40002,2006,274,280,,Sold,http://www.redfin.com/MA/Essex/25-Turtle-Back-Rd-01929/home/11532652,MLS PIN,72146091,42.6192589,-70.7900235
July-6-2017,Single Family Residential,279 Argilla Rd,Ipswich,MA,1938,1650000,5,3.5,Ipswich,4808,109771,1939,238,343,,Sold,http://www.redfin.com/MA/Ipswich/279-Argilla-Rd-01938/home/8244477,MLS PIN,72118157,42.6789827,-70.778305
July-17-2017,Single Family Residential,315 Sagamore St,Hamilton,MA,1982,1200000,3,3,South Hamilton,2342,296208,2014,227,512,,Sold,http://www.redfin.com/MA/Hamilton/315-Sagamore-St-01982/home/85685614,MLS PIN,72153535,42.6349926,-70.82386
January-12-2018,Single Family Residential,53 Leonard St,Gloucester,MA,1930,1619600,4,3,Annisquam,2033,11711,1830,48,797,,Sold,http://www.redfin.com/MA/Gloucester/53-Leonard-St-01930/home/11296447,MLS PIN,72256498,42.6564375,-70.6757014
,Single Family Residential,1306 Drift Rd,Westport,MA,2790,1050000,3,,,1908,135036,1985,,550,,,http://www.redfin.com/MA/Westport/1306-Drift-Rd-02790/home/14790578,,,41.5564919,-71.0708453
May-12-2017,Single Family Residential,30 Catlin Rd,Brookline,MA,2445,2190000,4,4,Fisher Hill,3613,20849,1989,293,606,,Sold,http://www.redfin.com/MA/Brookline/30-Catlin-Rd-02445/home/11483589,MLS PIN,72138433,42.3281176,-71.1370077
December-21-2017,Single Family Residential,617 Boylston St,Brookline,MA,2445,2100000,7,4,Brookline,6238,34350,1736,70,337,,Sold,http://www.redfin.com/MA/Brookline/617-Boylston-St-02445/home/11503430,MLS PIN,72073600,42.3279316,-71.1386852
August-29-2017,Single Family Residential,439 Chestnut Hill Ave,Brookline,MA,2445,1760000,7,4.5,Chestnut Hill,4736,14047,1925,184,372,,Sold,http://www.redfin.com/MA/Brookline/439-Chestnut-Hill-Ave-02445/home/11483944,MLS PIN,72143241,42.334298,-71.1487971
June-19-2017,Single Family Residential,20 Malia Ter,Newton,MA,2467,2845000,8,6,Chestnut Hill,7066,47647,1915,255,403,,Sold,http://www.redfin.com/MA/Chestnut-Hill/20-Malia-Ter-02467/home/11464237,MLS PIN,72137591,42.3308445,-71.1577314
,Single Family Residential,34 Beacon St,Chestnut Hill,MA,2467,5100000,7,7.5,,5687,30220,1900,,897,,,http://www.redfin.com/MA/Chestnut-Hill/34-Beacon-St-02467/home/11464041,,,42.3318975,-71.1592641
November-9-2017,Single Family Residential,42 Fairway Rd,Brookline,MA,2467,1400000,3,2.5,Chestnut Hill,2459,17281,1930,112,569,,Sold,http://www.redfin.com/MA/Chestnut-Hill/42-Fairway-Rd-02467/home/11507109,MLS PIN,72214639,42.3271479,-71.1507698
June-30-2017,Single Family Residential,55 Devon Rd,Brookline,MA,2467,4395000,7,6.5,Chestnut Hill,7529,27457,1893,244,584,,Sold,http://www.redfin.com/MA/Chestnut-Hill/55-Devon-Rd-02467/home/11485298,MLS PIN,72136787,42.3258634,-71.160703
November-22-2017,Single Family Residential,91 Grayfield Ave,Boston,MA,2132,1200000,5,3.5,West Roxbury's Highland district,4248,14759,1912,99,282,,Sold,http://www.redfin.com/MA/Boston/91-Grayfield-Ave-02132/home/9207886,MLS PIN,72230902,42.2882476,-71.1626524
,Single Family Residential,106 Forest Hills St,Boston,MA,2130,1440000,7,2.5,,3976,15173,1910,,362,,,http://www.redfin.com/MA/Boston/106-Forest-Hills-St-02130/home/9147576,,,42.3082739,-71.1022285
,Single Family Residential,30 Yale Ter,Boston,MA,2130,1150000,3,2,,1966,6630,1966,,585,,,http://www.redfin.com/MA/Boston/30-Yale-Ter-02130/home/9151065,,,42.2993112,-71.1077833
September-29-2017,Single Family Residential,53 Peter Parley Rd,Boston,MA,2130,1100000,3,2.5,Jamaica Plain,2276,6235,1895,153,483,,Sold,http://www.redfin.com/MA/Boston/53-Peter-Parley-Rd-02130/home/9146456,MLS PIN,72186620,42.3103985,-71.0998957
December-19-2017,Single Family Residential,25 Peter Parley Rd,Boston,MA,2130,1120000,5,4,Jamaica Plain,3016,6041,1898,72,371,,Sold,http://www.redfin.com/MA/Boston/25-Peter-Parley-Rd-02130/home/9146443,MLS PIN,72200171,42.3107244,-71.1014075
,Single Family Residential,25 Peter Parley Rd,Boston,MA,2130,1120000,4,2.5,,3016,6600,1898,,371,,,http://www.redfin.com/MA/Boston/25-Peter-Parley-Rd-02130/home/114037103,,,42.3107244,-71.1014075
September-19-2017,Single Family Residential,181 Clyde St,Brookline,MA,2467,6600000,5,7,Brookline,8000,42706,2016,163,825,,Sold,http://www.redfin.com/MA/Chestnut-Hill/181-Clyde-St-02467/home/103779036,MLS PIN,72199510,42.3165415,-71.1444415
,Condo/Co-op,511 Boylston St,Brookline,MA,2445,1480000,4,2.5,,2609,,1984,,567,,,http://www.redfin.com/MA/Brookline/511-Boylston-St-02445/home/11483275,,,42.3290649,-71.1335969
October-13-2017,Single Family Residential,166 Fisher Ave,Brookline,MA,2445,4150000,8,7.5,Brookline,11554,25000,1917,139,359,,Sold,http://www.redfin.com/MA/Brookline/166-Fisher-Ave-02445/home/11483705,MLS PIN,72174259,42.3317844,-71.1440625
