SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,LATITUDE,LONGITUDE
,Single Family Residential,5 Adams St,Boston,MA,2129,1773000,6,2,,3225,2136,1845,,550,,,http://www.redfin.com/MA/Boston/5-Adams-St-02129/home/9062518,,,42.374696,-71.0597328
June-30-2017,Single Family Residential,7 Jackson Ave,Boston,MA,2113,1025000,3,2,North End,1630,918,1875,244,629,,Sold,http://www.redfin.com/MA/Boston/7-Jackson-Ave-02113/home/11510088,MLS PIN,72116068,42.367644,-71.054956
July-25-2017,Single Family Residential,31 Prospect St,Boston,MA,2129,1429000,3,2.5,Frothingham Place,2798,1201,2000,219,511,175,Sold,http://www.redfin.com/MA/Boston/31-Prospect-St-02129/home/9305128,MLS PIN,72153961,42.375989,-71.0581079
July-20-2017,Single Family Residential,7 Kelley Ct,Boston,MA,2129,1175000,3,3.5,Charlestown,1976,99999,2017,224,595,,Sold,http://www.redfin.com/MA/Charlestown/7-Kelley-Ct-02129/home/114079254,MLS PIN,72173893,42.381479,-71.06396798
August-8-2017,Single Family Residential,25 Sackville St,Boston,MA,2129,1455000,5,4.5,Charlestown,3700,1805,1880,205,393,,Sold,http://www.redfin.com/MA/Charlestown/25-Sackville-St-02129/home/9056113,MLS PIN,72149395,42.3811509,-71.0646105
July-6-2017,Single Family Residential,Lot 3 Bolton Rd,Harvard,MA,1451,1045000,4,3,Harvard,3521,65340,2016,238,297,,Sold,http://www.redfin.com/MA/Harvard/3-Bolton-Rd-01451/home/108283837,MLS PIN,71969035,42.4952093,-71.5816964
June-23-2017,Single Family Residential,12A Watson St,Cambridge,MA,2139,1455000,3,3.5,Cambridgeport,1950,1328,2005,251,746,,Sold,http://www.redfin.com/MA/Cambridge/12-Watson-St-02139/unit-B/home/11603521,MLS PIN,72158578,42.361886,-71.104279
August-17-2017,Single Family Residential,34 Magnus Ave,Somerville,MA,2143,1200000,4,4,Union Square,2144,2785,1920,196,560,,Sold,http://www.redfin.com/MA/Somerville/34-Magnus-Ave-02143/home/8724598,MLS PIN,72169262,42.3780179,-71.1032756
June-29-2017,Single Family Residential,17 Jay St #17,Cambridge,MA,2139,1100000,3,3,Riverside,1625,,2005,245,677,190,Sold,http://www.redfin.com/MA/Cambridge/17-Jay-St-02139/unit-17/home/113216367,MLS PIN,72174882,42.3646747,-71.1100505
June-30-2017,Single Family Residential,101 Ivy St,Brookline,MA,2446,3300000,6,4,Cottage Farm,5526,14300,1893,244,597,,Sold,http://www.redfin.com/MA/Brookline/101-Ivy-St-02446/home/11441624,MLS PIN,72147574,42.347416,-71.1083242
