id	name	year	rating	runtime	genre	earnings_rank
103639	Aladdin	1992	G	90	N,C,F,Y,L	99
952640	Alvin and the Chipmunks	2007	PG	92	C,F,Y	100
1637725	Ted	2012	R	106	C	101
120815	Saving Private Ryan	1998	R	170	A,D,W	102
120755	Mission: Impossible II	2000	PG13	123	A,T	103
441773	Kung Fu Panda	2008	PG	92	A,N,C,F	104
1277953	Madagascar 3: Europe's Most Wanted	2012	PG	93	N	105
290334	X2	2003	PG13	133	A,Y,S,T	106
1482459	The Lorax	2012	PG	86	N	107
295178	Austin Powers in Goldmember	2002	PG13	94	A,V,C	108
88763	Back to the Future	1985	PG	111	V,C,S	109
416449	300	2006	R	117	A,D,W	110
1596343	Fast Five	2011	PG13	130	A,T	111
1229238	Mission: Impossible - Ghost Protocol	2011	PG13	133	A	112
396269	Wedding Crashers	2005	R	119	C,R	113
988045	Sherlock Holmes	2009	PG13	128	A,V,M,T	114
367594	Charlie and the Chocolate Factory	2005	PG	115	V,C,F,Y	115
382932	Ratatouille	2007	G	110	N,C,F	116
145660	Austin Powers: The Spy Who Shagged Me	1999	PG13	95	A,C	117
372784	Batman Begins	2005	PG13	141	A,V,Y,T	118
103064	Terminator 2: Judgment Day	1991	R	137	A,D,S,T	119
70047	Exorcist, The	1973	R	122	D,H	120
209163	Mummy Returns, The	2001	PG13	130	A,V,Y	121
120591	Armageddon	1998	PG13	144	A,S,T	122
398286	Tangled	2010	PG	100	N,C,F,Y,L,R	123
348150	Superman Returns	2006	PG13	154	A,V,Y,S	124
31381	Gone with the Wind	1939	\N	238	D,R,W	125
213149	Pearl Harbor	2001	PG13	183	A,D,R,W	126
892782	Monsters vs Aliens	2009	PG	94	A,N,F,S	127
366548	Happy Feet	2006	PG	109	N,V,C,F,L	128
97576	Indiana Jones and the Last Crusade	1989	PG13	127	A,V	129
1080016	Ice Age: Dawn of the Dinosaurs	2009	PG	94	A,V,N,C,F,R	130
438097	Ice Age: The Meltdown	2006	PG	91	V,N,C,F	131
351283	Madagascar	2005	PG	86	V,N,C,F	132
114709	Toy Story	1995	G	81	N,C,F,Y	133
1216475	Cars 2	2011	G	106	V,N,C,F	134
1099212	Twilight	2008	PG13	122	D,Y,R,T	135
120912	Men in Black II	2002	PG13	88	A,C,S	136
172495	Gladiator	2000	R	155	A,D	137
1515091	Sherlock Holmes: A Game of Shadows	2011	PG13	129	A	138
319262	The Day After Tomorrow	2004	PG13	124	A,V,D,S,T	139
356910	Mr. & Mrs. Smith	2005	PG13	120	A,C,R,T	140
29583	Snow White and the Seven Dwarfs	1937	\N	83	N,F,L	141
99348	Dances with Wolves	1990	PG13	180	V,D,E	142
112462	Batman Forever	1995	PG13	122	A,V,Y,R,T	143
106977	Fugitive, The	1993	PG13	130	A,M,T	144
240772	Ocean's Eleven	2001	PG13	116	C,T	145
462538	The Simpsons Movie	2007	PG13	87	N,C	146
207201	What Women Want	2000	PG13	127	C,Y,R	147
177971	Perfect Storm, The	2000	PG13	129	A,V,D,T	148
119528	Liar Liar	1997	PG13	86	C,Y	149
77631	Grease	1978	PG	110	C,L,R	150
163025	Jurassic Park III	2001	PG13	92	A,V,H,S,T	151
800369	Thor	2011	PG13	115	A,V,Y	152
117060	Mission: Impossible	1996	PG13	110	A,V,T	153
